Hirokazu Koreeda,2016,After the Storm,Japan,Good,,,인생이란 폭풍우 속에 당첨되지 않을 복권을 찾는 것
Ken Loach,2016,"I, Daniel Blake",UK,Good,Cannes Palme d'Or,,
Kenneth Lonergan,2016,Manchester by the sea,US,Special,,,
Kwok Cheung Tsang,2016,"Soul Mate (七月與安生, 안녕 나의 소울메이트)",China,Good,,,
Makoto Shinkai,2016,Your Name.,Japan,Good,,,
Mohamed Diab,2016,Clash (충돌: 아랍의 봄 그 이후),,Good,,,
Nitesh Tiwari,2016,Dangal,India,Good,,,
Olivier Assayas,2016,Personal Shopper,US,Good,,,
Paul Verhoeven,2016,Elle,France,Good,,César Award for Best Film,
Robert Zemeckis,2016,Allied,US,Good,,,
Scott Derrickson,2016,Doctor Strange,US,Good,,,
Tinu Suresh Desai,2016,Rustom,India,Good,,,
William Oldroyd,2016,Lady Macbeth,US,Good,,,
Woody Allen,2016,Cafe Society,US,Good,,,
Xavier Dolan,2016,It's Only the End of the World (단지 세상의 끝),France,Good,,,
나홍진,2016,곡성,Korea,Good,,,
박찬욱,2016,아가씨,Korea,Good,,,
양우석,2016,강철비,Korea,,,,
연상호,2016,부산행,Korea,Good,,,
우민호,2016,내부자들,Korea,,,청룡영화제 최우수 작품상,
윤가은,2016,우리들,Korea,Good,,,
이재용,2016,죽여주는 여자,Korea,Good,,,
이준익,2016,동주,Korea,Good,,,
조현훈,2016,꿈의 제인 (Jane),Korea,Good,,,
허진호,2016,덕혜옹주,Korea,Good,,,
홍상수,2016,밤의 해변에서 혼자,Korea,Good,,,
Adam McKay,2015,The Big Short,US,Good,,,
Alejandro González Iñárritu,2015,The Revenant,US,Good,,,
Alex Garland,2015,Ex Machina,US,Good,,,
Christopher McQuarrie,2015,Mission: Impossible – Rogue Nation,US,Good,,,
George Miller,2015,Mad Max: Fury Road,Australia,Masterpiece,,,Just one movie is enough to prove true genius.
Hirokazu Koreeda,2015,Our Little Sister (바닷마을 다이어리),Japan,Good,,Japan Academy Prize,
J.J. Abrams,2015,Star Wars 7: The Force Awakens,US,Good,,,
Jacques Audiard,2015,Dheepan,France,Good,Cannes Palme d'Or,,
Jia Zhangke,2015,Mountains May Depart (산하고인),China,Good,,,
John Crowley,2015,Brooklyn,US,Good,,,
Justin Kurzel,2015,Macbeth,US,Good,,,
Kent Jones,2015,Hitchcock/Truffaut,US,Special,,,
László Nemes,2015,Son of Saul,Hungary,Special,,Oscar Best International Film,
Mark Osborne,2015,The Little Prince,US,,,,
Noah Baumbach,2015,Mistress America,US,Good,,,
Pete Docter ,2015,Inside Out,Pixar,Good,,,
Ridley Scott,2015,The Martian,US,Good,,,
Todd Haynes,2015,Carol,US,Good,,,
Tom McCarthy,2015,Spotlight,US,Special,,Oscar Best Picture,
